 time            i(VIin)         v(Vout)        
 4.99920865e-08  4.87704798e-06  7.66010679e-01 
 5.00000000e-08  4.87785252e-06  7.66033746e-01 
 5.00158269e-08  4.87946144e-06  7.66098771e-01 
 5.00474808e-08  4.88267857e-06  7.66229614e-01 
 5.01055270e-08  4.88857566e-06  7.66471076e-01 
 5.02216193e-08  4.90036042e-06  7.66957265e-01 
 5.04538040e-08  4.92389226e-06  7.67943822e-01 
 5.09181734e-08  4.97080445e-06  7.69969662e-01 
 5.18469122e-08  5.06401728e-06  7.74212775e-01 
 5.37043897e-08  5.24795245e-06  7.83325179e-01 
 5.50000000e-08  5.37423990e-06  7.90087142e-01 
 5.50500000e-08  5.37907992e-06  7.90372259e-01 
 5.51500000e-08  5.38875240e-06  7.90917527e-01 
 5.53292583e-08  5.40606586e-06  7.92142365e-01 
 5.54713866e-08  5.41977006e-06  7.93544475e-01 
 5.55000000e-08  5.42252653e-06  7.93867658e-01 
 5.55149098e-08  5.42396254e-06  7.94029146e-01 
 5.55447295e-08  5.42683388e-06  7.94354455e-01 
 5.56043688e-08  5.43257385e-06  7.95003849e-01 
 5.57236475e-08  5.44404294e-06  7.96286343e-01 
 5.59622047e-08  5.46693767e-06  7.98799007e-01 
 5.64393193e-08  5.51255258e-06  8.03642001e-01 
 5.73935485e-08  5.60307843e-06  8.12798477e-01 
 5.93020068e-08  5.78126896e-06  8.29874825e-01 
 5.95000000e-08  5.79953379e-06  8.31578827e-01 
 5.95500000e-08  5.80413962e-06  8.31992399e-01 
 5.96500000e-08  5.81334324e-06  8.32826752e-01 
 5.98215548e-08  5.82910741e-06  8.34354164e-01 
 5.99922009e-08  5.84475659e-06  8.35315112e-01 
 6.00000000e-08  5.84547106e-06  8.35333503e-01 
 6.00155982e-08  5.84689980e-06  8.35390952e-01 
 6.00467946e-08  5.84975649e-06  8.35506705e-01 
 6.01046492e-08  5.85505152e-06  8.35722876e-01 
 6.02203585e-08  5.86563071e-06  8.36157976e-01 
 6.04517770e-08  5.88674551e-06  8.37040665e-01 
 6.09146142e-08  5.92880022e-06  8.38852455e-01 
 6.18402884e-08  6.01220507e-06  8.42647023e-01 
 6.36916369e-08  6.17615714e-06  8.50809191e-01 
 6.50000000e-08  6.28968627e-06  8.56965067e-01 
 6.50500000e-08  6.29398597e-06  8.57234899e-01 
 6.51500000e-08  6.30257673e-06  8.57742948e-01 
 6.53292367e-08  6.31794564e-06  8.58867000e-01 
 6.54712774e-08  6.33009877e-06  8.60158331e-01 
 6.55000000e-08  6.33255346e-06  8.60463418e-01 
 6.55149001e-08  6.33382648e-06  8.60615314e-01 
 6.55447002e-08  6.33637174e-06  8.60921725e-01 
 6.56043005e-08  6.34145917e-06  8.61533923e-01 
 6.57235011e-08  6.35162167e-06  8.62743013e-01 
 6.59619023e-08  6.37189717e-06  8.65112384e-01 
 6.64387046e-08  6.41224950e-06  8.69676646e-01 
 6.73923092e-08  6.49215442e-06  8.78280520e-01 
 6.92995186e-08  6.64872533e-06  8.94191559e-01 
 6.95000000e-08  6.66493007e-06  8.95789305e-01 
 6.95500000e-08  6.66896395e-06  8.96164306e-01 
 6.96500000e-08  6.67702262e-06  8.96919390e-01 
 6.98215662e-08  6.69082033e-06  8.98308826e-01 
 6.99922970e-08  6.70451538e-06  8.99159765e-01 
 7.00000000e-08  6.70513243e-06  8.99174283e-01 
 7.00154059e-08  6.70636631e-06  8.99224567e-01 
 7.00462178e-08  6.70883322e-06  8.99326026e-01 
 7.01039286e-08  6.71345065e-06  8.99517527e-01 
 7.02193503e-08  6.72267332e-06  8.99902856e-01 
 7.04501936e-08  6.74106992e-06  9.00684482e-01 
 7.09118802e-08  6.77766753e-06  9.02288310e-01 
 7.18352534e-08  6.85007614e-06  9.05646423e-01 
 7.36819999e-08  6.99171299e-06  9.12870524e-01 
 7.50000000e-08  7.09016994e-06  9.18376470e-01 
 7.50500000e-08  7.09386151e-06  9.18642185e-01 
 7.51500000e-08  7.10123506e-06  9.19138501e-01 
 7.53292322e-08  7.11441880e-06  9.20186287e-01 
 7.54712123e-08  7.12483319e-06  9.21368962e-01 
 7.55000000e-08  7.12694164e-06  9.21655042e-01 
 7.55148932e-08  7.12803203e-06  9.21797145e-01 
 7.55446796e-08  7.13021194e-06  9.22084232e-01 
 7.56042525e-08  7.13456835e-06  9.22658304e-01 
 7.57233981e-08  7.14326749e-06  9.23791874e-01 
 7.59616895e-08  7.16061099e-06  9.26012791e-01 
 7.64382722e-08  7.19507830e-06  9.30285602e-01 
 7.73914375e-08  7.26312990e-06  9.38307714e-01 
 7.92977683e-08  7.39566707e-06  9.52992781e-01 
 7.95000000e-08  7.40944582e-06  9.54468795e-01 
 7.95500000e-08  7.41284413e-06  9.54802781e-01 
 7.96500000e-08  7.41963077e-06  9.55474874e-01 
 7.98215852e-08  7.43124466e-06  9.56720135e-01 
 7.99924102e-08  7.44276816e-06  9.57438220e-01 
 8.00000000e-08  7.44327926e-06  9.57446948e-01 
 8.00151797e-08  7.44430121e-06  9.57484886e-01 
 8.00455391e-08  7.44634420e-06  9.57561685e-01 
 8.01030180e-08  7.45020879e-06  9.57708613e-01 
 8.02179757e-08  7.45792474e-06  9.58004835e-01 
 8.04478913e-08  7.47330366e-06  9.58608490e-01 
 8.09077223e-08  7.50384920e-06  9.59857227e-01 
 8.18273844e-08  7.56408742e-06  9.62508299e-01 
 8.36667086e-08  7.68112457e-06  9.68328176e-01 
 8.50000000e-08  7.76306680e-06  9.72910768e-01 
 8.50500000e-08  7.76609202e-06  9.73176648e-01 
 8.51500000e-08  7.77213207e-06  9.73675096e-01 
 8.53292270e-08  7.78292281e-06  9.74663649e-01 
 8.54711640e-08  7.79143681e-06  9.75747816e-01 
 8.55000000e-08  7.79316310e-06  9.76017859e-01 
 8.55148882e-08  7.79405395e-06  9.76152191e-01 
 8.55446647e-08  7.79583471e-06  9.76423948e-01 
 8.56042176e-08  7.79939255e-06  9.76967635e-01 
 8.57233234e-08  7.80649344e-06  9.78040285e-01 
 8.59615350e-08  7.82063601e-06  9.80138663e-01 
 8.64379581e-08  7.84868391e-06  9.84161079e-01 
 8.73908045e-08  7.90382724e-06  9.91653269e-01 
 8.92964972e-08  8.01027652e-06  1.00514604e+00 
 8.95000000e-08  8.02133959e-06  1.00649404e+00 
 8.95500000e-08  8.02404873e-06  1.00678590e+00 
 8.96500000e-08  8.02945632e-06  1.00737341e+00 
 8.98216158e-08  8.03870335e-06  1.00847201e+00 
 8.99925516e-08  8.04787196e-06  1.00902958e+00 
 9.00000000e-08  8.04827052e-06  1.00903029e+00 
 9.00148967e-08  8.04906741e-06  1.00905073e+00 
